"Date","Price","Open","High","Low","Vol.","Change %"
"10/01/2020","4,590.0","4,834.0","4,998.0","4,485.5","1.68M","-4.39%"
"09/01/2020","4,801.0","4,972.5","5,128.5","4,663.0","1.81M","-2.86%"
"08/01/2020","4,942.5","4,815.5","5,095.5","4,760.5","1.42M","3.38%"
"07/01/2020","4,781.0","4,913.0","5,169.5","4,745.0","1.68M","-2.70%"
"06/01/2020","4,913.5","4,748.0","5,228.0","4,680.5","1.88M","4.85%"
"05/01/2020","4,686.0","4,376.0","4,781.5","4,193.0","1.30M","3.09%"
"04/01/2020","4,545.5","4,277.5","4,698.5","4,110.5","1.11M","3.42%"
"03/01/2020","4,395.0","5,361.0","5,537.0","3,624.0","4.31M","-17.18%"
"02/01/2020","5,306.5","5,818.0","6,117.0","5,223.5","2.54M","-8.57%"
"01/01/2020","5,804.0","6,011.5","6,111.0","5,761.5","2.12M","-2.78%"
"12/01/2019","5,970.0","5,910.5","6,057.5","5,692.0","1.80M","1.20%"
"11/01/2019","5,899.0","5,760.0","5,959.0","5,736.0","1.56M","3.00%"
"10/01/2019","5,727.0","5,693.0","5,779.5","5,390.0","2.17M","0.90%"
"09/01/2019","5,676.0","5,476.0","5,691.0","5,437.5","1.90M","3.61%"
"08/01/2019","5,478.0","5,503.0","5,564.5","5,169.5","2.44M","-0.73%"
"07/01/2019","5,518.5","5,584.0","5,672.5","5,461.0","1.91M","-0.26%"
"06/01/2019","5,533.0","5,150.5","5,582.0","5,131.0","1.78M","6.71%"
"05/01/2019","5,185.0","5,532.0","5,550.0","5,138.0","2.24M","-6.52%"
"04/01/2019","5,546.5","5,383.5","5,601.0","5,368.0","1.72M","3.81%"
"03/01/2019","5,343.0","5,264.0","5,431.0","5,220.5","1.90M","1.99%"
"02/01/2019","5,239.0","4,989.0","5,247.5","4,945.0","1.63M","4.97%"
"01/01/2019","4,991.0","4,647.5","5,015.0","4,603.0","1.92M","5.55%"
"12/01/2018","4,728.5","5,088.0","5,103.5","4,552.0","2.11M","-5.24%"
"11/01/2018","4,990.0","5,076.5","5,167.0","4,878.0","1.93M","-1.96%"
"10/01/2018","5,090.0","5,496.5","5,516.5","4,892.5","2.56M","-7.28%"
"09/01/2018","5,489.5","5,397.0","5,543.5","5,223.5","1.66M","1.55%"
"08/01/2018","5,405.5","5,507.5","5,539.5","5,280.5","1.63M","-1.90%"
"07/01/2018","5,510.0","5,276.5","5,528.5","5,238.5","1.56M","3.56%"
"06/01/2018","5,320.5","5,395.0","5,559.5","5,243.0","2.06M","-1.07%"
"05/01/2018","5,378.0","5,472.0","5,641.5","5,345.0","2.00M","-1.74%"
"04/01/2018","5,473.0","5,120.0","5,475.0","5,081.0","1.63M","6.18%"
"03/01/2018","5,154.5","5,292.0","5,316.0","5,024.0","2.10M","-3.09%"
"02/01/2018","5,319.0","5,503.5","5,529.0","4,972.5","2.26M","-2.95%"
"01/01/2018","5,480.5","5,319.5","5,579.5","5,252.5","1.78M","3.20%"
"12/01/2017","5,310.5","5,371.0","5,430.0","5,291.5","1.64M","-1.06%"
"11/01/2017","5,367.5","5,522.0","5,534.5","5,265.5","1.92M","-2.44%"
"10/01/2017","5,501.5","5,336.0","5,511.0","5,322.5","1.71M","3.29%"
"09/01/2017","5,326.5","5,095.5","5,327.5","5,047.5","1.74M","4.76%"
"08/01/2017","5,084.5","5,101.0","5,232.5","4,991.5","2.11M","-0.11%"
"07/01/2017","5,090.0","5,155.0","5,260.5","5,078.0","1.97M","-0.52%"
"06/01/2017","5,116.5","5,279.5","5,358.0","5,107.0","2.42M","-2.85%"
"05/01/2017","5,266.5","5,214.5","5,444.5","5,213.5","2.27M","0.99%"
"04/01/2017","5,215.0","5,116.5","5,334.5","4,966.0","2.20M","1.95%"
"03/01/2017","5,115.5","4,874.5","5,126.5","4,872.5","2.30M","5.30%"
"02/01/2017","4,858.0","4,785.0","4,935.0","4,732.5","2.01M","2.33%"
"01/01/2017","4,747.5","4,846.0","4,929.0","4,745.0","2.08M","-2.38%"
"12/01/2016","4,863.0","4,569.0","4,865.0","4,470.5","1.99M","6.27%"
"11/01/2016","4,576.0","4,532.5","4,606.5","4,253.5","2.52M","1.54%"
"10/01/2016","4,506.5","4,443.5","4,578.5","4,368.5","2.07M","1.42%"
"09/01/2016","4,443.5","4,445.5","4,570.0","4,308.0","2.29M","0.12%"
"08/01/2016","4,438.0","4,463.0","4,528.5","4,293.0","1.84M","-0.03%"
"07/01/2016","4,439.5","4,260.5","4,476.5","4,060.0","1.88M","4.85%"
"06/01/2016","4,234.0","4,479.5","4,506.0","3,923.0","2.71M","-5.49%"
"05/01/2016","4,480.0","4,382.5","4,512.5","4,218.5","2.15M","2.39%"
"04/01/2016","4,375.5","4,353.5","4,547.0","4,210.5","2.21M","-0.18%"
"03/01/2016","4,383.5","4,315.5","4,582.0","4,305.0","2.24M","0.71%"
"02/01/2016","4,352.5","4,431.0","4,431.5","3,889.5","2.70M","-1.33%"
"01/01/2016","4,411.0","4,572.5","4,587.0","4,057.5","2.67M","-4.90%"
"12/01/2015","4,638.5","4,973.0","4,979.0","4,465.5","2.18M","-6.41%"
"11/01/2015","4,956.0","4,855.0","5,011.0","4,711.0","2.02M","1.24%"
"10/01/2015","4,895.5","4,497.5","4,949.0","4,380.5","2.16M","9.97%"
"09/01/2015","4,451.5","4,558.0","4,732.5","4,270.0","2.60M","-4.31%"
"08/01/2015","4,652.0","5,078.5","5,219.5","4,225.5","2.47M","-8.50%"
"07/01/2015","5,084.0","4,840.0","5,186.5","4,599.0","2.33M","6.22%"
"06/01/2015","4,786.5","5,018.5","5,095.5","4,712.5","3.10M","-3.97%"
"05/01/2015","4,984.5","5,015.0","5,171.0","4,844.0","2.33M","-0.56%"
"04/01/2015","5,012.5","5,012.0","5,270.5","4,947.5","2.41M","-0.47%"
"03/01/2015","5,036.0","4,940.5","5,105.5","4,857.5","2.43M","1.71%"
"02/01/2015","4,951.5","4,610.0","4,953.5","4,583.0","2.15M","7.47%"
"01/01/2015","4,607.5","4,260.5","4,695.5","4,062.5","3.13M","7.73%"
"12/01/2014","4,277.0","4,362.5","4,423.0","3,925.0","2.43M","-2.42%"
"11/01/2014","4,383.0","4,228.0","4,395.5","4,115.5","2.11M","3.60%"
"10/01/2014","4,230.5","4,395.5","4,425.5","3,786.0","3.44M","-4.16%"
"09/01/2014","4,414.0","4,386.0","4,509.5","4,329.5","2.26M","0.78%"
"08/01/2014","4,380.0","4,242.5","4,402.5","4,100.5","2.23M","3.18%"
"07/01/2014","4,245.0","4,427.5","4,493.0","4,226.5","2.43M","-4.00%"
"06/01/2014","4,422.0","4,518.5","4,598.5","4,405.5","2.10M","-1.84%"
"05/01/2014","4,505.0","4,442.0","4,519.0","4,362.5","2.05M","1.43%"
"04/01/2014","4,441.5","4,401.5","4,495.5","4,319.5","2.46M","1.15%"
"03/01/2014","4,391.0","4,345.5","4,433.5","4,182.5","2.90M","-0.32%"
"02/01/2014","4,405.0","4,147.5","4,426.0","4,068.0","2.44M","5.71%"
"01/01/2014","4,167.0","4,308.5","4,352.0","4,097.5","2.89M","-3.06%"
"12/01/2013","4,298.5","4,283.0","4,302.0","4,043.0","2.05M","0.29%"
"11/01/2013","4,286.0","4,295.0","4,349.5","4,203.5","2.19M","-0.20%"
"10/01/2013","4,294.5","4,149.0","4,304.5","4,104.5","2.52M","3.58%"
"09/01/2013","4,146.0","3,956.0","4,236.0","3,926.5","2.40M","5.34%"
"08/01/2013","3,936.0","4,001.0","4,127.0","3,920.5","2.05M","-1.37%"
"07/01/2013","3,990.5","3,729.5","4,008.0","3,666.5","2.20M","6.86%"
"06/01/2013","3,734.5","3,927.5","3,974.0","3,571.5","2.84M","-5.24%"
"05/01/2013","3,941.0","3,797.0","4,059.5","3,774.5","2.57M","3.72%"
"04/01/2013","3,799.5","3,723.5","3,834.0","3,565.5","3.07M","1.81%"
"03/01/2013","3,732.0","3,710.0","3,876.5","3,661.0","2.61M","0.24%"
"02/01/2013","3,723.0","3,737.0","3,788.5","3,592.0","2.71M","-0.23%"
"01/01/2013","3,731.5","3,708.0","3,794.5","3,680.5","2.33M","2.46%"
"12/01/2012","3,642.0","3,565.5","3,688.5","3,551.5","1.81M","2.56%"
"11/01/2012","3,551.0","3,424.0","3,578.5","3,357.5","2.28M","3.68%"
"10/01/2012","3,425.0","3,339.5","3,543.0","3,339.5","2.53M","2.15%"
"09/01/2012","3,353.0","3,388.0","3,588.5","3,350.5","2.41M","-1.54%"
"08/01/2012","3,405.5","3,294.0","3,519.0","3,206.0","2.48M","3.45%"
"07/01/2012","3,292.0","3,211.0","3,339.0","3,050.0","2.76M","3.13%"
"06/01/2012","3,192.0","3,006.5","3,205.0","2,901.0","3.12M","6.40%"
"05/01/2012","3,000.0","3,126.0","3,226.0","2,957.5","3.47M","-5.08%"
